model,scenario,variable,filename,version,year,path
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950.nc,1,1950,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951.nc,1,1951,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952.nc,1,1952,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953.nc,1,1953,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954.nc,1,1954,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1955.nc,1,1955,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1955.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1956.nc,1,1956,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1956.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1957.nc,1,1957,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1957.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1958.nc,1,1958,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1958.nc
ACCESS-CM2,historical,huss,huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1959.nc,1,1959,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/huss/huss_day_ACCESS-CM2_historical_r1i1p1f1_gn_1959.nc
